state_id,state,zone,optimal_value,optimal_action,Q_Move-Forward,Q_Slight-Right-Turn,Q_Sharp-Right-Turn,Q_Slight-Left-Turn,samples_per_action
0,F ≤0.70 · L ≤0.42,Danger,-11.771575,Sharp-Right-Turn,-13.248889,-12.390032,-11.771574,-13.455919,1033
1,F ≤0.70 · L 0.42–0.49,Danger,-5.983955,Sharp-Right-Turn,-9.427653,-8.42808,-5.983954,-8.510137,272
2,F ≤0.70 · L 0.49–0.60,Danger,-1.380958,Sharp-Right-Turn,-4.546594,-3.723834,-1.380957,-4.031663,571
3,F ≤0.70 · L 0.60–0.75,Danger,-1.652251,Sharp-Right-Turn,-3.522008,-3.037229,-1.65225,-3.727326,697
4,F ≤0.70 · L 0.75–0.90,Danger,-3.433595,Sharp-Right-Turn,-4.844607,-4.123044,-3.433595,-5.844063,336
5,F ≤0.70 · L 0.90–1.20,Danger,-5.729233,Sharp-Right-Turn,-7.064372,-5.910185,-5.729232,-8.65645,368
6,F ≤0.70 · L >1.20,Danger,-13.713065,Sharp-Right-Turn,-14.663006,-13.791138,-13.713064,-14.239937,1431
7,F 0.70–0.90 · L ≤0.42,Danger,0.137233,Sharp-Right-Turn,-3.578794,-1.282335,0.137234,-7.87545,176
8,F 0.70–0.90 · L 0.42–0.49,Caution,5.978655,Sharp-Right-Turn,3.357291,5.465804,5.978656,-0.474734,155
9,F 0.70–0.90 · L 0.49–0.60,Caution,9.537987,Sharp-Right-Turn,7.059072,8.544685,9.537988,4.702282,863
10,F 0.70–0.90 · L 0.60–0.75,Caution,9.136634,Sharp-Right-Turn,6.644702,8.14518,9.136635,5.405927,1731
11,F 0.70–0.90 · L 0.75–0.90,Caution,6.405757,Sharp-Right-Turn,4.351335,5.430881,6.405758,3.554299,1018
12,F 0.70–0.90 · L 0.90–1.20,Caution,3.142939,Sharp-Right-Turn,1.256099,2.391605,3.14294,0.105062,885
13,F 0.70–0.90 · L >1.20,Caution,-6.658793,Sharp-Right-Turn,-7.49934,-7.204074,-6.658792,-6.940904,845
14,F 0.90–1.10 · L ≤0.42,Danger,2.828855,Slight-Right-Turn,1.575591,2.828856,2.644018,-0.752771,127
15,F 0.90–1.10 · L 0.42–0.49,Caution,8.535906,Sharp-Right-Turn,7.202237,8.205758,8.535907,5.978862,222
16,F 0.90–1.10 · L 0.49–0.60,Tracking band,11.922178,Sharp-Right-Turn,11.332275,11.66707,11.922179,9.207045,1309
